timesteps,rollout_ep_len_mean,rollout_ep_rew_mean,time_fps,time_iterations,time_time_elapsed,time_total_timesteps,train_approx_kl,train_clip_fraction,train_clip_range,train_entropy_loss,train_explained_variance,train_learning_rate,train_loss,train_n_updates,train_policy_gradient_loss,train_value_loss
6000,4240.0,100,60,3,,6144,0.0074914126,0.0396,0.2,-1.59,-3.36,0.0003,-0.0111,20,-0.00247,0.0012
8000,2460.0,100,59,4,,8192,0.004055454,0.0084,0.2,-1.57,0.0033,0.0003,2.18,30,-0.00245,35.8
10000,2460.0,100,59,5,,10240,0.0033593816,0,0.2,-1.59,-0.00205,0.0003,81,40,-0.000555,74.7
12000,2790.0,100,59,6,,12288,0.010138254,0.0884,0.2,-1.56,-2.32,0.0003,-0.000703,50,-0.00187,0.0311
14000,2790.0,100,59,7,,14336,0.004852836,0.00259,0.2,-1.57,0.0967,0.0003,28.7,60,-0.000446,37.7
16000,2790.0,100,59,8,,16384,0.020178461,0.238,0.2,-1.56,-1.67,0.0003,-0.0272,70,-0.0119,0.00676
18000,2790.0,100,59,9,,18432,0.0075535146,0.0611,0.2,-1.53,1.19e-07,0.0003,0.0185,80,0.00228,0.00138
20000,2790.0,100,59,10,,20480,0.016418163,0.112,0.2,-1.49,-1.19e-07,0.0003,-0.0331,90,0.000406,0.000924
22000,2790.0,100,59,11,,22528,0.0077177007,0.0746,0.2,-1.44,1.19e-07,0.0003,-0.0122,100,-0.00124,0.000649
24000,2790.0,100,59,12,,24576,0.01676523,0.236,0.2,-1.33,-1.19e-07,0.0003,0.0216,110,-0.0061,0.000476
26000,5230.0,80,59,13,,26624,0.011181857,0.168,0.2,-1.24,0,0.0003,0.0091,120,-0.00272,0.000311
28000,5230.0,80,59,14,,28672,0.009188956,0.0613,0.2,-1.34,0.823,0.0003,0.00215,130,-0.00815,0.0773
30000,5230.0,80,59,15,,30720,0.011371407,0.193,0.2,-1.5,-4.05,0.0003,-0.0107,140,-0.00589,0.0129
32000,5230.0,80,59,16,,32768,0.011800625,0.162,0.2,-1.46,-2.99,0.0003,-0.0437,150,-0.00619,0.00885
34000,5230.0,80,59,17,,34816,0.014758896,0.117,0.2,-1.41,5.96e-08,0.0003,0.0262,160,-0.00194,0.00377
36000,5230.0,80,59,18,,36864,0.0052388934,0.172,0.2,-1.44,-1.19e-07,0.0003,0.00425,170,-0.00852,0.00285
38000,5230.0,80,59,19,,38912,0.011785774,0.0802,0.2,-1.37,0,0.0003,-0.027,180,-0.000461,0.0019
40000,5230.0,80,59,20,,40960,0.016148288,0.145,0.2,-1.25,0,0.0003,0.0255,190,-0.00125,0.0012
43000,6860.0,66.7,59,21,,43008,0.0074004303,0.0335,0.2,-1.23,0,0.0003,0.0315,200,-0.00358,0.00082
45000,6860.0,66.7,59,22,,45056,0.0076412153,0.0348,0.2,-1.34,0.874,0.0003,-0.0225,210,-0.00704,0.0031
47000,6860.0,66.7,59,23,,47104,0.020522771,0.273,0.2,-1.45,5.96e-08,0.0003,0.0312,220,-0.00198,5.68e-05
49000,6860.0,66.7,59,24,,49152,0.011488548,0.0879,0.2,-1.44,5.96e-08,0.0003,-0.0234,230,-0.00177,3.78e-05
51000,6860.0,66.7,59,25,,51200,0.009538656,0.103,0.2,-1.4,-1.19e-07,0.0003,0.0181,240,-0.00177,2.73e-05
