timesteps,best_mean_length,last_mean_length
5000,inf,4239.0
6000,4239.00,4239.0
7000,4239.00,3081.5
8000,3081.50,2461.33
9000,2461.33,2461.33
10000,2461.33,2461.33
11000,2461.33,2461.33
12000,2461.33,2792.0
13000,2461.33,2792.0
14000,2461.33,2792.0
15000,2461.33,2792.0
16000,2461.33,2792.0
17000,2461.33,2792.0
18000,2461.33,2792.0
19000,2461.33,2792.0
20000,2461.33,2792.0
21000,2461.33,2792.0
22000,2461.33,2792.0
23000,2461.33,2792.0
24000,2461.33,2792.0
25000,2461.33,2792.0
26000,2461.33,2792.0
27000,2461.33,5233.6
28000,2461.33,5233.6
29000,2461.33,5233.6
30000,2461.33,5233.6
31000,2461.33,5233.6
32000,2461.33,5233.6
33000,2461.33,5233.6
34000,2461.33,5233.6
35000,2461.33,5233.6
36000,2461.33,5233.6
37000,2461.33,5233.6
38000,2461.33,5233.6
39000,2461.33,5233.6
40000,2461.33,5233.6
41000,2461.33,5233.6
42000,2461.33,6861.33
43000,2461.33,6861.33
44000,2461.33,6861.33
45000,2461.33,6861.33
46000,2461.33,6861.33
47000,2461.33,6861.33
48000,2461.33,6861.33
49000,2461.33,6861.33
50000,2461.33,6861.33
51000,2461.33,6861.33
