timesteps,rollout_ep_len_mean,rollout_ep_rew_mean,time_fps,time_iterations,time_time_elapsed,time_total_timesteps,train_approx_kl,train_clip_fraction,train_clip_range,train_entropy_loss,train_explained_variance,train_learning_rate,train_loss,train_n_updates,train_policy_gradient_loss,train_value_loss
4000,958,-1100.0,60,2,,4096,0.011610266,0.147,0.2,-1.6,-0.00577,0.0003,32.8,10,-0.0125,183
6000,1720.0,-1980.0,60,3,,6144,0.015632527,0.237,0.2,-1.58,0.0143,0.0003,55.1,20,-0.0188,196
8000,1560.0,-1790.0,60,4,,8192,0.013721403,0.158,0.2,-1.55,-0.0252,0.0003,40.3,30,-0.0104,159
10000,1380.0,-1590.0,60,5,,10240,0.013249529,0.0967,0.2,-1.56,0.182,0.0003,33.4,40,-0.00648,131
12000,1300.0,-1500.0,60,6,,12288,0.012736044,0.0909,0.2,-1.55,-0.00101,0.0003,34.1,50,-0.00785,121
14000,1080.0,-1240.0,60,7,,14336,0.0129618645,0.0748,0.2,-1.51,0.00348,0.0003,24.4,60,-0.00515,109
16000,814,-932,59,8,,16384,0.012105409,0.0801,0.2,-1.47,-0.0954,0.0003,49,70,-0.00644,107
18000,814,-932,59,9,,18432,0.021095261,0.212,0.2,-1.48,-0.0227,0.0003,44.5,80,-0.0125,116
20000,850,-972,59,10,,20480,0.0130983535,0.172,0.2,-1.28,-0.00396,0.0003,7.53,90,-0.0138,50.1
22000,850,-972,59,11,,22528,0.0058409423,0.0346,0.2,-1.33,0.0462,0.0003,27.4,100,-0.00337,68.3
24000,986,-1130.0,59,12,,24576,0.013453685,0.192,0.2,-1.27,0.00102,0.0003,1.5,110,-0.017,25.6
26000,980,-1120.0,59,13,,26624,0.019160762,0.0913,0.2,-1.28,-0.0238,0.0003,21.3,120,-0.00267,64.1
28000,1020.0,-1170.0,59,14,,28672,0.009312835,0.0654,0.2,-1.05,-0.00517,0.0003,205,130,-0.000172,67.7
30000,1050.0,-1200.0,59,15,,30720,0.003951196,0.0271,0.2,-1.07,-0.000224,0.0003,12,140,-0.000606,75.7
32000,1040.0,-1190.0,59,16,,32768,0.010462848,0.0874,0.2,-1.17,-0.00338,0.0003,0.646,150,-0.00437,41
34000,1040.0,-1190.0,59,17,,34816,0.006330643,0.078,0.2,-0.796,-0.0328,0.0003,1.74,160,-0.00611,42.5
36000,1130.0,-1270.0,59,18,,36864,0.004865814,0.0708,0.2,-0.788,-0.000545,0.0003,1.46,170,-0.00507,3.77
38000,1170.0,-1310.0,59,19,,38912,0.012082375,0.0926,0.2,-0.933,-0.021,0.0003,43.9,180,-0.00642,89.9
40000,1160.0,-1300.0,59,20,,40960,0.0038913125,0.0302,0.2,-0.798,-0.0146,0.0003,2.36,190,-0.00349,45
43000,1160.0,-1300.0,59,21,,43008,0.0031057491,0.0449,0.2,-0.759,-0.000517,0.0003,112,200,-0.00165,88.3
45000,1210.0,-1350.0,59,22,,45056,0.0031472677,0.0381,0.2,-0.675,-0.000278,0.0003,1.46,210,-0.00336,4.08
47000,1210.0,-1350.0,59,23,,47104,0.007339591,0.0636,0.2,-0.775,-0.016,0.0003,2.66,220,-0.00346,46.6
49000,1260.0,-1410.0,59,24,,49152,0.0072887777,0.0881,0.2,-0.691,-0.00721,0.0003,1.55,230,-0.00599,4.24
51000,1280.0,-1430.0,59,25,,51200,0.0035531833,0.0367,0.2,-0.769,0.135,0.0003,3.02,240,-0.00421,51.7
