timesteps,best_mean_length,last_mean_length
2000,inf,1000.0
3000,1000.00,1000.0
4000,1000.00,971.5
5000,971.50,866.6
6000,866.60,880.33
7000,866.60,880.33
8000,866.60,880.33
9000,866.60,1255.14
10000,866.60,1158.0
11000,866.60,1125.78
12000,866.60,1171.6
13000,866.60,1151.09
14000,866.60,1131.67
15000,866.60,1094.85
16000,866.60,1094.85
17000,866.60,1094.85
18000,866.60,1094.85
19000,866.60,1332.43
20000,866.60,1332.43
21000,866.60,1350.33
22000,866.60,1350.33
23000,866.60,1350.33
24000,866.60,1497.38
25000,866.60,1497.38
26000,866.60,1520.41
27000,866.60,1520.41
28000,866.60,1520.41
29000,866.60,1520.41
30000,866.60,1643.56
31000,866.60,1643.56
32000,866.60,1643.56
33000,866.60,1643.56
34000,866.60,1643.56
35000,866.60,1643.56
36000,866.60,1643.56
37000,866.60,1917.63
38000,866.60,1894.15
39000,866.60,1894.15
40000,866.60,1894.15
41000,866.60,1894.15
42000,866.60,1894.15
43000,866.60,1894.15
44000,866.60,1894.15
45000,866.60,1894.15
46000,866.60,1894.15
47000,866.60,2191.05
48000,866.60,2191.05
49000,866.60,2191.05
50000,866.60,2191.05
51000,866.60,2191.05
